StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Education,Area of Study,Professional,Investment,401k,Data science,Q1 [0],Q1[1],Q9
3/15/2022 12:33,3/15/2022 12:34,IP Address,75.182.170.42,100,11,TRUE,3/15/2022 12:34,R_sni2WzOxHCTnhZL,,,,,35.05619812,-80.81939697,anonymous,EN,,,,,,,,,
3/15/2022 12:36,3/15/2022 12:37,IP Address,98.203.141.22,100,48,TRUE,3/15/2022 12:37,R_10AVwZnYNY8jBy9,,,,,47.69009399,-122.3746948,anonymous,EN,< Undergraduate,Others,"> 5 years work experience, including internships","Yes, I primarily make investments myself.","No, I am not",No,Almost $6000,,Yes
3/15/2022 12:36,3/15/2022 12:37,IP Address,100.7.47.175,100,59,TRUE,3/15/2022 12:37,R_24PllIOaICvtD94,,,,,37.48170471,-77.63770294,anonymous,EN,Undergraduate,Others,"> 5 years work experience, including internships","Yes, but I primarily rely on professional investors to help me invest.","Yes, I am",No,"$19,559 ",,Yes
3/15/2022 12:37,3/15/2022 12:37,IP Address,75.182.170.42,100,24,TRUE,3/15/2022 12:37,R_2doKp9hbf5YRoY2,,,,,35.05619812,-80.81939697,anonymous,EN,> Master's,"Business, Economics, and Finance,Statistics, Data Science","> 5 years work experience, including internships","Yes, but I primarily rely on professional investors to help me invest.","Yes, I am",Yes,,$8000-$9000,No
3/15/2022 12:36,3/15/2022 12:37,IP Address,76.115.45.184,100,53,TRUE,3/15/2022 12:37,R_1gvHs4aV4pahsu3,,,,,44.65539551,-123.1349945,anonymous,EN,Undergraduate,"Business, Economics, and Finance","> 5 years work experience, including internships","Yes, I primarily make investments myself.","No, I am not",No,,Almost $6000,No
3/15/2022 12:36,3/15/2022 12:38,IP Address,73.12.80.13,100,74,TRUE,3/15/2022 12:38,R_1eRWqQRm8B8S01Q,,,,,37.2696991,-81.22119904,anonymous,EN,Undergraduate,Others,"> 5 years work experience, including internships","Yes, but I primarily rely on professional investors to help me invest.","Yes, I am",No,Almost $6000,,No
3/15/2022 12:37,3/15/2022 12:38,IP Address,98.235.49.7,100,42,TRUE,3/15/2022 12:38,R_9WAkaAWarnzwx7H,,,,,40.2743988,-76.70619965,anonymous,EN,< Undergraduate,Others,"> 5 years work experience, including internships","No, I don't have any","No, I am not",No,,"$19,559 ",No
3/15/2022 12:36,3/15/2022 12:38,IP Address,73.160.14.40,100,77,TRUE,3/15/2022 12:38,R_2drU18x3fFsR9oA,,,,,40.58329773,-74.27700043,anonymous,EN,< Undergraduate,Others,"> 5 years work experience, including internships","Yes, I primarily make investments myself.","No, I am not",No,"$19,559 ",,No
3/15/2022 12:36,3/15/2022 12:38,IP Address,205.178.54.222,100,79,TRUE,3/15/2022 12:38,R_2b1TLvrxNRxtNy8,,,,,41.90319824,-87.63829803,anonymous,EN,Undergraduate,"Business, Economics, and Finance","1-3 years work experience, including internships","Yes, I primarily make investments myself.","No, I am not",No,,Almost $6000,No
3/15/2022 12:37,3/15/2022 12:38,IP Address,216.81.94.71,100,81,TRUE,3/15/2022 12:38,R_1ojyoR4I3k0Hjlm,,,,,37.75100708,-97.8219986,anonymous,EN,Undergraduate,Others,"> 5 years work experience, including internships","Yes, but I primarily rely on professional investors to help me invest.","Yes, I am",No,Almost $6000,,No
